source_id,title,authority,source_type,official_url,downloaded_file,topic,subtopic,language,document_number,effective_from,effective_to,retrieved_at,trust_level,status,notes
DJP_PPH23_001,PPh Pasal 23/26 — halaman topik DJP,DJP,portal_page,https://pajak.go.id/en/node/34298,,pph_23,overview,id,,,,2026-09-02,official_guidance,collected,search-listed on official domain; URL not individually fetched
DJP_PPH23_002,Pemotongan Pajak Penghasilan - Pasal 23,DJP,official_guidance,https://www.pajak.go.id/en/node/35004,,pph_23,rate_base,id,,,,2026-09-02,official_guidance,collected,search-listed on official domain; URL not individually fetched; search summary indicated 2% of DPP and 4% without NPWP — MUST be confirmed against PMK text
DJP_PPH23_003,Jenis Jasa Lain yang atas Imbalannya Dipotong PPh Pasal 23 ayat (1) huruf c,DJP,regulation,https://pajak.go.id/index.php/id/peraturan/jenis-jasa-lain-yang-atas-imbalannya-dipotong-pajak-penghasilan-berdasarkan-pasal-23-0,,pph_23,service_scope,id,,,,2026-09-02,regulation,collected,search-listed on official domain; URL not individually fetched; the 'jasa lain' list is the scoping source for service categories
DJP_PPH23_004,Bendahara Pemerintah Harus Paham: Tidak Semua Jasa Dikenakan PPh Pasal 23,DJP,official_guidance,https://pajak.go.id/en/node/108610,,pph_23,service_scope,id,,,,2026-09-02,official_guidance,collected,search-listed on official domain; URL not individually fetched
DJP_PPH23_005,Salah Kaprah Pengenaan PPh Pasal 21 dan PPh Pasal 23 atas Jasa,DJP,official_guidance,https://pajak.go.id/en/artikel/salah-kaprah-pengenaan-pph-pasal-21-dan-pph-pasal-23-atas-jasa,,pph_23,service_scope,id,,,,2026-09-02,official_guidance,collected,search-listed on official domain; URL not individually fetched; relevant to distinguishing individual (PPh21) vs entity (PPh23) service providers
DJP_PPH23_006,Konsultan — perlakuan PPh atas jasa konsultan,DJP,official_guidance,https://pajak.go.id/en/node/37829,,pph_23,professional_services,id,,,,2026-09-02,official_guidance,collected,search-listed on official domain; URL not individually fetched; directly relevant to Test Case 1 (legal/paralegal)
DJP_PPH23_007,Penyuluh Sukoharjo: Pemotongan PPh 23 Tanpa Batas Minimum Transaksi,DJP,official_guidance,https://www.pajak.go.id/en/node/96285,,pph_23,threshold,id,,,,2026-09-02,official_guidance,collected,search-listed on official domain; URL not individually fetched
DJP_PPH23_008,Jasa Hotel Dipotong PPh Pasal 23?,DJP,official_guidance,https://pajak.go.id/en/node/37766,,pph_23,service_scope,id,,,,2026-09-02,official_guidance,collected,search-listed on official domain; URL not individually fetched
KEMENKEU_PPH23_009,Pajak Penghasilan Pasal 23 — DJPb Kemenkeu (KPPN Tapaktuan),Kemenkeu,official_guidance,https://djpb.kemenkeu.go.id/kppn/tapaktuan/id/informasi/perpajakan/pph-pasal-23.html,,pph_23,rate_base,id,,,,2026-09-02,official_guidance,collected,search-listed on official domain; URL not individually fetched
KEMENKEU_PPH23_010,PPh Pasal 23 — DJPb Kemenkeu (KPPN Banda Aceh),Kemenkeu,official_guidance,https://djpb.kemenkeu.go.id/kppn/bandaaceh/id/layanan/perpajakan/pph-pasal-23.html,,pph_23,rate_base,id,,,,2026-09-02,official_guidance,collected,search-listed on official domain; URL not individually fetched
DJP_PPH42_001,PPh Pasal 4 ayat (2) — halaman topik DJP,DJP,portal_page,https://pajak.go.id/en/node/34297,,pph_4_2,overview,id,,,,2026-09-02,official_guidance,collected,search-listed on official domain; URL not individually fetched
DJP_PPH42_002,Pemotongan Pajak Penghasilan - Pasal 4 Ayat (2),DJP,official_guidance,https://pajak.go.id/en/node/35022,,pph_4_2,rental,id,,,,2026-09-02,official_guidance,collected,search-listed on official domain; URL not individually fetched; search summary indicated 10% final of gross rental — MUST be confirmed against PP text
DJP_PPH42_003,Pemotongan Pajak Penghasilan - Pasal 4 Ayat (2) (halaman kedua),DJP,official_guidance,https://www.pajak.go.id/en/node/35073,,pph_4_2,rental,id,,,,2026-09-02,official_guidance,collected,search-listed on official domain; URL not individually fetched
DJP_PPH42_004,Pembayaran Sendiri PPh Final Pasal 4 ayat 2 Orang Pribadi,DJP,official_guidance,https://www.pajak.go.id/en/node/34991,,pph_4_2,self_payment,id,,,,2026-09-02,official_guidance,collected,search-listed on official domain; URL not individually fetched; relevant when the landlord (not tenant) remits
DJP_PPH42_005,Wajib Pajak Pahami Mekanisme PPh Setor Sendiri,DJP,official_guidance,https://www.pajak.go.id/en/node/114919,,pph_4_2,self_payment,id,,,,2026-09-02,official_guidance,collected,search-listed on official domain; URL not individually fetched
DJP_PPH42_006,Waspadai Salah Tarif PPh Biaya Layanan Gedung,DJP,official_guidance,https://www.pajak.go.id/index.php/en/node/25637,,pph_4_2,service_charge,id,,,,2026-09-02,official_guidance,collected,search-listed on official domain; URL not individually fetched; DIRECTLY relevant to Test Case 2 — service charge vs rent treatment
KEMENKEU_PPH21_001,"PMK Nomor 168 Tahun 2023 — PPh Pasal 21 (PDF, JDIH Kemenkeu)",JDIH Kemenkeu,regulation,https://jdih.kemenkeu.go.id/api/download/e60a82e0-b218-40f5-9d18-b924aa1e11ce/2023pmkeuangan168.pdf,,pph_21,ter,id,PMK 168 Tahun 2023,,,2026-09-02,regulation,collected,search-listed on official domain; URL not individually fetched; PRIMARY regulation text
DJP_PPH21_002,"PMK 168 Tahun 2023 Tentang PPh Pasal 21 TER (PDF, DJP mirror)",DJP,regulation,https://pajak.go.id/sites/default/files/2024-02/PMK%20168%20Tahun%202023%20Tentang%20PPh%20Pasal%2021%20TER.pdf,,pph_21,ter,id,PMK 168 Tahun 2023,,,2026-09-02,regulation,collected,search-listed on official domain; URL not individually fetched
BPK_PPH21_003,PMK No. 168 Tahun 2023 (peraturan.bpk.go.id),Other official,regulation,https://peraturan.bpk.go.id/Details/286951/pmk-no-168-tahun-2023,,pph_21,ter,id,PMK 168 Tahun 2023,,,2026-09-02,regulation,collected,search-listed on official domain; URL not individually fetched
DJP_PPH21_004,PMK 168 Tahun 2023 PPh Pasal 21 TER — penjelasan DJP,DJP,official_guidance,https://www.pajak.go.id/en/node/104509,,pph_21,ter,id,PMK 168 Tahun 2023,,,2026-09-02,official_guidance,collected,"search-listed on official domain; URL not individually fetched; TER = monthly average effective rate table, Jan-Nov; not a single flat rate"
DJP_PPH21_005,Live Instagram KPP Gropet: PPh Pasal 21 TER,DJP,official_guidance,https://pajak.go.id/en/node/108024,,pph_21,ter,id,,,,2026-09-02,official_guidance,collected,search-listed on official domain; URL not individually fetched
DJP_PPHBADAN_001,WP OP UMKM: Fasilitas PPh Final dan Ketentuan Umum,DJP,official_guidance,https://www.pajak.go.id/en/node/113050,,pph_badan,umkm_final,id,PP 55 Tahun 2022,,,2026-09-02,official_guidance,collected,"search-listed on official domain; URL not individually fetched; search summary indicated 0.5% final on monthly gross turnover, threshold Rp4.8bn/yr"
DJP_PPHBADAN_002,DJP Perjelas Teknis Pengaturan Pajak UMKM,DJP,official_guidance,https://www.pajak.go.id/en/node/104146,,pph_badan,umkm_final,id,PP 55 Tahun 2022,,,2026-09-02,official_guidance,collected,search-listed on official domain; URL not individually fetched
DJP_PPHBADAN_003,"PP 20/2026: Tarif PPh 0,5% bagi UMKM Orang Pribadi Berlaku Selamanya",DJP,announcement,https://www.pajak.go.id/en/node/119950,,pph_badan,umkm_final,id,PP 20 Tahun 2026,,,2026-09-02,announcement,collected,search-listed on official domain; URL not individually fetched; NEWER instrument — reviewer must establish interaction with PP 55/2022
DJP_PPHBADAN_004,Partisipasi Terakhir Tarif Setengah Persen,DJP,official_guidance,https://pajak.go.id/en/node/113670,,pph_badan,umkm_final,id,,,,2026-09-02,official_guidance,collected,search-listed on official domain; URL not individually fetched
DJP_PPHBADAN_005,"Wajib Pajak UMKM, Kenali Hak dan Kewajiban Perpajakannya",DJP,official_guidance,https://www.pajak.go.id/index.php/en/node/102676,,pph_badan,umkm_final,id,,,,2026-09-02,official_guidance,collected,search-listed on official domain; URL not individually fetched
DJP_CORETAX_001,Coretaxpedia — FAQ Coretax,DJP,faq,https://pajak.go.id/coretaxpedia/,,coretax,faq,id,,,,2026-09-02,faq,collected,search-listed on official domain; URL not individually fetched
DJP_CORETAX_002,Buku Panduan Coretax DJP,DJP,user_guide,https://pajak.go.id/coretaxpedia/buku-panduan-coretax-djp,,coretax,user_guide,id,,,,2026-09-02,official_guidance,collected,search-listed on official domain; URL not individually fetched
DJP_CORETAX_003,Coretax — halaman utama DJP,DJP,portal_page,https://www.pajak.go.id/en/node/107868,,coretax,overview,id,,,,2026-09-02,official_guidance,collected,search-listed on official domain; URL not individually fetched
DJP_CORETAX_004,Panduan Ringkas Coretax DJP,DJP,user_guide,https://www.pajak.go.id/en/node/113547,,coretax,user_guide,id,,,,2026-09-02,official_guidance,collected,"search-listed on official domain; URL not individually fetched; covers registration, payment, bukti potong, SPT, faktur pajak business processes"
DJP_CORETAX_005,FAQ Coretax (halaman DJP),DJP,faq,https://www.pajak.go.id/index.php/en/node/107900,,coretax,faq,id,,,,2026-09-02,faq,collected,search-listed on official domain; URL not individually fetched
DJP_CORETAX_006,Keterangan Tertulis Pembaruan Informasi Implementasi Coretax DJP,DJP,announcement,https://pajak.go.id/en/node/113732,,coretax,implementation,id,,,,2026-09-02,announcement,collected,search-listed on official domain; URL not individually fetched
DJP_BUPOT_001,"Buku Manual Coretax — Seri Bukti Potong PPh (PDF, v1.0 3 Feb 2025)",DJP,user_guide,https://www.pajak.go.id/sites/default/files/2025-02/Buku%20Manual%20Coretax%202024%20-%20Seri%20Bukti%20Potong%20PPh.pdf,,bukti_potong,coretax_manual,id,,2025-02-03,,2026-09-02,official_guidance,collected,search-listed on official domain; URL not individually fetched; PRIMARY operational manual for bukti potong — highest value for evidence rules
DJP_BUPOT_002,Petugas Pajak Beri Asistensi Penggunaan E-Bupot di Coretax DJP,DJP,official_guidance,https://pajak.go.id/en/node/114234,,bukti_potong,e_bupot,id,,,,2026-09-02,official_guidance,collected,search-listed on official domain; URL not individually fetched; e-Bupot moved into Coretax from 1 Jan 2025
DJP_FAKTUR_001,Coretax — proses bisnis Faktur Pajak (dalam Panduan Ringkas),DJP,user_guide,https://www.pajak.go.id/en/node/113547,,faktur_pajak,coretax,id,,,,2026-09-02,official_guidance,collected,search-listed on official domain; URL not individually fetched; faktur pajak process is a section of the Panduan Ringkas; a dedicated PER on faktur pajak is still a GAP
DJP_TOOL_001,Kalkulator Pajak DJP,DJP,portal_page,https://kalkulator.pajak.go.id/,,withholding,calculator,id,,,,2026-09-02,official_guidance,collected,search-listed on official domain; URL not individually fetched; useful for cross-checking engine arithmetic against DJP's own calculator
OSS_001,OSS RBA — Sistem Perizinan Berusaha Terintegrasi Secara Elektronik,OSS,portal_page,https://oss.go.id/en,,oss,portal,id,,,,2026-09-02,official_guidance,collected,search-listed on official domain; URL not individually fetched
OSS_002,OSS Berbasis Risiko — portal perizinan,OSS,portal_page,https://perizinan.oss.go.id/,,oss,portal,id,,,,2026-09-02,official_guidance,collected,search-listed on official domain; URL not individually fetched
OSS_003,OSS RBA — Regulations,OSS,portal_page,https://oss.go.id/en/regulasi,,business_licenses,regulations_index,id,,,,2026-09-02,official_guidance,collected,search-listed on official domain; URL not individually fetched; index of the underlying regulations — best entry point for primary licence law
OSS_KBLI_001,OSS RBA — Klasifikasi Baku Lapangan Usaha Indonesia (KBLI) 2020,OSS,portal_page,https://oss.go.id/en/kbli,,kbli,kbli_2020,id,KBLI 2020,,,2026-09-02,official_guidance,collected,search-listed on official domain; URL not individually fetched
OSS_KBLI_002,OSS RBA — contoh detail KBLI (portal web tanpa tujuan komersial),OSS,portal_page,https://oss.go.id/en/kbli/detail/8996291c-9ac4-4dc7-8bf2-bad13d545ff4,,kbli,kbli_detail,id,,,,2026-09-02,official_guidance,collected,"search-listed on official domain; URL not individually fetched; example of per-KBLI detail page structure, useful for future ingestion mapping"
BKPM_OSS_001,Pengenalan tentang OSS Berbasis Risiko,BKPM,official_guidance,https://www4.bkpm.go.id/id/publikasi/detail/berita/pengenalan-tentang-oss-berbasis-risiko,,oss,risk_based,id,UU 11 Tahun 2020,,,2026-09-02,official_guidance,collected,search-listed on official domain; URL not individually fetched; risk tiers R / MR / MT / T
BKPM_NIB_001,"Genap Dua Tahun, OSS Berbasis Risiko Sudah Terbitkan Lebih Dari 5 Juta NIB",BKPM,announcement,https://www.bkpm.go.id/index.php/id/info/siaran-pers/genap-dua-tahun-oss-berbasis-risiko-sudah-terbitkan-lebih-dari-5-juta-nib,,nib,overview,id,,,,2026-09-02,announcement,collected,search-listed on official domain; URL not individually fetched
BKPM_OSS_002,OSS Berbasis Risiko Permudah Sistem Perizinan UMKM,BKPM,official_guidance,https://www2.bkpm.go.id/id/publikasi/detail/berita/oss-berbasis-risiko-permudah-sistem-perizinan-berusaha-umkm,,business_licenses,umk,id,,,,2026-09-02,official_guidance,collected,search-listed on official domain; URL not individually fetched
OSS_LIC_001,Pengajuan Perizinan Berusaha Risiko Menengah Tinggi,OSS,user_guide,https://oss.go.id/en/panduan/69102b5d67aecc64abaeef41,,business_licenses,medium_high_risk,id,,,,2026-09-02,official_guidance,collected,search-listed on official domain; URL not individually fetched
OSS_LKPM_001,Laporan Kegiatan Penanaman Modal (LKPM) — panduan OSS,OSS,user_guide,https://oss.go.id/en/panduan/635970086345c7d71a8144b2,,lkpm,overview,id,,,,2026-09-02,official_guidance,collected,search-listed on official domain; URL not individually fetched
OSS_LKPM_002,LKPM Non UMK — tahap konstruksi/persiapan,OSS,user_guide,https://oss.go.id/en/panduan/635970086345c7d71a8144e3,,lkpm,non_umk,id,,,,2026-09-02,official_guidance,collected,search-listed on official domain; URL not individually fetched
OSS_LKPM_003,Kewajiban Penyampaian LKPM Periode Triwulan I Tahun 2021,OSS,announcement,https://oss.go.id/baca/artikel?id=13,,lkpm,obligation,id,Peraturan BKPM 6 Tahun 2020,,,2026-09-02,announcement,collected,search-listed on official domain; URL not individually fetched; cites UU 25/2007 Pasal 15 and Perka BKPM 6/2020; threshold and deadline are period-specific — do not generalise
BKPM_LKPM_001,Penyampaian LKPM — pengumuman BKPM,BKPM,announcement,https://bkpm.go.id/id/info/pengumuman/penyampaian-lkpm,,lkpm,obligation,id,,,,2026-09-02,announcement,collected,search-listed on official domain; URL not individually fetched
BKPM_LKPM_002,Kementerian Investasi Ajak Investor Segera Sampaikan LKPM,BKPM,announcement,https://www.bkpm.go.id/id/info/siaran-pers/kementerian-investasi-dan-hilirisasi-ajak-investor-segera-sampaikan-laporan-kegiatan-penanaman-modal,,lkpm,obligation,id,,,,2026-09-02,announcement,collected,search-listed on official domain; URL not individually fetched
BKPM_LKPM_003,Kewajiban Penyampaian LKPM Triwulan II dan Semester I Tahun 2018,BKPM,announcement,https://www5.bkpm.go.id/id/publikasi/detail/berita/kewajiban-penyampaian-lkpm-periode-triwulan-ii-dan-semester-i-tahun-2018,,lkpm,obligation,id,,,,2026-09-02,announcement,collected,search-listed on official domain; URL not individually fetched; historical — retained only to trace how the obligation was worded over time
BPJSTK_001,Peraturan dan Regulasi BPJS Ketenagakerjaan,BPJS,portal_page,https://www.bpjsketenagakerjaan.go.id/peraturan.html,,bpjs,regulations_index,id,,,,2026-09-02,official_guidance,collected,search-listed on official domain; URL not individually fetched; index of BPJS TK regulations — entry point for primary text
BPJSTK_002,Cara Pendaftaran BPJS Ketenagakerjaan,BPJS,official_guidance,https://www.bpjsketenagakerjaan.go.id/cara-mendaftar-jadi-peserta.html,,bpjs,employer_registration,id,,,,2026-09-02,official_guidance,collected,search-listed on official domain; URL not individually fetched; registration requires NIB or business licence + NPWP — links compliance KB to company docs
BPJSTK_003,Peraturan BPJS Nomor 1 Tahun 2016 (PDF),BPJS,regulation,https://www.bpjsketenagakerjaan.go.id/assets/uploads/peraturan/16122016_111825_PER%20BPJS%2001%202016.pdf,,bpjs,regulation,id,PER BPJS 01/2016,,,2026-09-02,regulation,collected,search-listed on official domain; URL not individually fetched; check whether superseded before any use
BPJSTK_004,Formulir 1 BPJS Ketenagakerjaan — pendaftaran badan usaha (PDF),BPJS,form,https://www.bpjsketenagakerjaan.go.id/assets/uploads/formulir/Formulir_1_BPJS_Ketenagakerjaan.pdf,,bpjs,forms,id,,,,2026-09-02,official_guidance,collected,search-listed on official domain; URL not individually fetched; defines required employer registration fields
BPJSTK_005,Formulir 1a BPJS Ketenagakerjaan — pendaftaran/perubahan data pekerja (PDF),BPJS,form,https://www.bpjsketenagakerjaan.go.id/assets/uploads/formulir/Formulir_1a_BPJS_Ketenagakerjaan.pdf,,bpjs,forms,id,,,,2026-09-02,official_guidance,collected,search-listed on official domain; URL not individually fetched
